bookID	bookTitle	phrase	kind	status	annotationType	wikiTitle	score	extract	gloss	debug
2701	Moby-Dick	Whiteness of the Whale	ref	suppressed	suppress		0.99			This is a chapter heading/thematic phrase in Moby-Dick, not a stable encyclopedic reference.
2701	Moby-Dick	Ahab	ref	ok	wikipedia	Captain Ahab	0.95	Captain Ahab is a fictional character and one of the protagonists in Herman Melville's Moby-Dick (1851). He is the monom		pre-approved: Captain Ahab
2701	Moby-Dick	Moby Dick	ref	ok	wikipedia	Moby-Dick	1.00	Moby-Dick; or, The Whale is an 1851 epic novel by American writer Herman Melville. The book centers on the sailor Ishmae		
2701	Moby-Dick	Pegu	ref	ok	wikipedia	Bago, Myanmar	0.95	Bago, formerly known as Hanthawaddy, is the capital of the Bago Region in Myanmar. It is located 91 kilometres (57 mi) n		pre-approved: Pegu
2701	Moby-Dick	Lord of the White Elephants	ref	gloss	gloss		0.95		Royal epithet invoking sacred white elephants as emblems of kingship in the Southeast Asian courtly context Melville is describing.	Royal epithet / symbolic title is better handled as a gloss than a direct Wikipedia link.
2701	Moby-Dick	Siam	ref	ok	wikipedia	Thailand	0.95	Thailand, officially the Kingdom of Thailand, and formerly known as Siam, is a country located in Mainland Southeast Asi		pre-approved: Siam
2701	Moby-Dick	Hanoverian	ref	ok	wikipedia	House of Hanover	1.00	The House of Hanover is a German royal house with roots tracing back to the 17th century. Its members, known as Hanoveri		
2701	Moby-Dick	Austrian Empire	ref	ok	wikipedia	Austrian Empire	1.00	The Austrian Empire, officially known as the Empire of Austria, was a multinational European great power from 1804 to 18		
2701	Moby-Dick	Cæsarian	ref	gloss	gloss		0.98		Adjectival reference to Caesar or to imperial Rome; here, the Austrian Empire is described as inheriting Roman imperial authority.	The phrase is an adjectival historical epithet in a rhetorical list, not a stable standalone encyclopedic entity.
2701	Moby-Dick	Red Men of America	ref	gloss	gloss		0.95		Period literary label for Indigenous peoples of the Americas; best treated as contextual gloss rather than a direct encyclopedic link.	Archaic multi-word ethnonym label is better handled as a gloss than a direct Wikipedia link.
2701	Moby-Dick	Great Jove	ref	ok	wikipedia	Jupiter (god)	0.95	In ancient Roman religion and mythology, Jupiter, also known as Jove, is the god of the sky and thunder, and king of the		pre-approved: Jupiter (god)
2701	Moby-Dick	Iroquois	ref	ok	wikipedia	Haudenosaunee	0.95	The Haudenosaunee Confederacy, also known as the Iroquois, are a confederacy of Iroquoian-speaking Native Americans and 		pre-approved: Iroquois
2701	Moby-Dick	White Dog	ref	gloss	gloss		0.98		A sacred white dog offered in a midwinter Iroquois ritual as an envoy to the Great Spirit.	This is a culturally specific ritual reference, but the phrase itself is not a stable encyclopedic title; a short explanatory gloss is the safest annotation.
2701	Moby-Dick	Great Spirit	ref	ok	wikipedia	Great Spirit	1.00	The Great Spirit is an omnipresent supreme life force, generally conceptualized as a supreme being or god, in the tradit		
2701	Moby-Dick	Romish	ref	ok	wikipedia	Catholic Church	0.95	The Catholic Church, also called the Roman Catholic Church, is the largest Christian church, with an estimated 1.28 to 1		pre-approved: Catholic Church
2701	Moby-Dick	Vision of St John	ref	ok	wikipedia	Vision of St. John on Patmos	1.00	The Vision of St. John the Evangelist at Patmos (1520–1522) is a series of frescoes by the Italian late Renaissance arti		
2701	Moby-Dick	Holy One	ref	ok	wikipedia	God in Christianity	0.95	In Christianity, God is the eternal, supreme being who created and preserves all things. Christians believe in a monothe		pre-approved: God in Christianity
2701	Moby-Dick	Requiem	ref	ok	wikipedia	Requiem	1.00	A Requiem or Requiem Mass, also known as Mass for the dead or Mass of the dead, is a Mass of the Catholic Church offered		
2701	Moby-Dick	Requin Bethink	ref	suppressed	suppress		0.99			This is not a stable reference; it appears to be a broken phrase around the French word 'requin' (shark) and the following English 'bethink', so there is no safe encyclopedic target.
2701	Moby-Dick	Coleridge	ref	ok	wikipedia	Samuel Taylor Coleridge	0.95	Samuel Taylor Coleridge  was an English poet, literary critic, philosopher, and theologian who was a founder of the Roma		pre-approved: Samuel Taylor Coleridge
2701	Moby-Dick	Goney	ref	ok	wikipedia	Snowy albatross	0.95	The snowy albatross, also known as the wandering albatross, white-winged albatross, or goonie, is a large seabird from t		pre-approved: Wandering albatross
2701	Moby-Dick	Coleridge's	ref	ok	wikipedia	Samuel Taylor Coleridge	0.95	Samuel Taylor Coleridge  was an English poet, literary critic, philosopher, and theologian who was a founder of the Roma		pre-approved: Samuel Taylor Coleridge
2701	Moby-Dick	White Steed of the Prairies	ref	gloss	gloss		0.95		A poetic, legendary-style name for a magnificent white charger associated with Western and Native American traditions; a descriptive epithet rather than a stable encyclopedic title.	This is an evocative descriptive epithet, not a clear single Wikipedia article target.
2701	Moby-Dick	Xerxes	ref	ok	wikipedia	Xerxes I	0.95	Xerxes I was a Persian ruler who reigned as the fourth King of Kings of the Achaemenid Empire, reigning from 486 BC unti		pre-approved: Xerxes I
2701	Moby-Dick	Rocky Mountains	ref	ok	wikipedia	Rocky Mountains	1.00	The Rocky Mountains, also known as the Rockies, are a major mountain range and the largest mountain system in North Amer		
2701	Moby-Dick	Alleghanies	ref	ok	wikipedia	Allegheny Mountains	1.00	The Allegheny Mountain Range —also spelled Alleghany or Allegany, less formally the Alleghenies—is part of the vast Appa		
